Weekly Infectious Disease Bulletin - Year 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Polyclinic attendances - Average Daily numbers,Unnamed: 42,Unnamed: 43,Unnamed: 44
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue ,DHF,Malaria,Chikungunya,HFMD,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
31,2017-07-30 00:00:00,2017-08-05 00:00:00,0,0,0,2,4,0,0,0,60,0,1,1,872,1,0,7,0,0,0,0,0,0,13,0,0,0,0,1,2,0,40,0,6,0,0,0,0,0,2867.090909090909,87.45454545454545,576.1818181818181,16.181818181818183
32,2017-08-06 00:00:00,2017-08-12 00:00:00,0,0,3,2,0,0,0,0,56,0,1,1,695,0,2,15,1,0,0,2,0,0,9,0,3,1,0,2,2,0,46,0,2,0,0,0,0,2,2782.8888888888887,87.11111111111111,597.1111111111111,15.333333333333334
33,2017-08-13 00:00:00,2017-08-19 00:00:00,0,0,0,2,7,0,0,0,52,1,1,2,711,0,0,5,2,0,0,1,0,0,15,0,2,0,0,0,6,0,27,0,2,0,0,0,0,0,2892.7272727272725,80.18181818181819,599.0909090909091,12.363636363636363
34,2017-08-20 00:00:00,2017-08-26 00:00:00,0,0,2,1,1,0,0,0,51,1,1,1,840,0,0,13,3,0,0,1,0,0,7,1,1,2,0,3,4,0,37,0,0,0,0,0,0,0,2770.7272727272725,77.63636363636364,567.8181818181819,14.727272727272727
35,2017-08-27 00:00:00,2017-09-02 00:00:00,0,0,1,0,3,0,0,0,33,0,3,0,761,0,1,12,0,0,0,1,0,0,13,0,0,2,0,5,4,0,39,0,1,0,0,0,0,0,2502.4444444444443,81.33333333333333,480.6666666666667,16.88888888888889
36,2017-09-03 00:00:00,2017-09-09 00:00:00,0,0,1,2,3,0,0,0,40,0,1,1,659,1,1,14,1,0,0,0,0,1,13,2,2,1,1,0,4,0,46,0,0,0,0,0,0,0,2378.3636363636365,74.72727272727273,460.54545454545456,12.909090909090908
37,2017-09-10 00:00:00,2017-09-16 00:00:00,0,1,0,1,2,0,0,0,53,0,1,0,717,0,1,5,0,0,0,1,0,1,11,0,0,1,0,5,2,0,41,0,0,0,0,0,0,0,2489.2727272727275,79.81818181818181,528.7272727272727,12.727272727272727
38,2017-09-17 00:00:00,2017-09-23 00:00:00,0,1,1,3,4,0,0,0,58,1,1,0,708,0,2,12,0,0,0,1,0,0,12,0,1,0,0,2,1,0,39,0,0,0,0,0,0,0,2664.7272727272725,84.36363636363636,509.8181818181818,10.363636363636363
39,2017-09-24 00:00:00,2017-09-30 00:00:00,0,0,0,0,0,0,0,0,39,0,0,0,672,0,1,14,0,0,0,2,0,1,17,0,1,1,0,1,4,0,27,0,1,0,0,0,0,0,2686.3636363636365,80.36363636363636,482.90909090909093,9.636363636363637
40,2017-10-01 00:00:00,2017-10-07 00:00:00,0,0,1,0,1,0,0,0,51,1,1,1,622,0,0,12,0,0,0,0,0,0,10,1,1,2,0,1,1,0,33,0,0,0,0,0,0,0,2881.090909090909,71.45454545454545,504.1818181818182,11.090909090909092
41,2017-10-08 00:00:00,2017-10-14 00:00:00,0,0,3,2,0,0,0,0,55,0,0,1,721,0,0,13,0,0,0,2,0,1,4,1,0,3,1,2,1,0,34,0,0,0,0,0,0,0,3016,80.36363636363636,518.1818181818181,11.818181818181818
